Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
25,65,Male,Trench Coat,Outerwear,42,Nebraska,M,Pink,Summer,4.5,Yes,Standard,No,No,45,PayPal,Monthly
26,20,Female,Pants,Clothing,78,Minnesota,M,Green,Fall,2.5,No,Store Pickup,No,No,5,Cash,Quarterly
27,59,Male,Necklace,Accessories,88,Michigan,XL,White,Winter,3.0,Yes,Store Pickup,No,No,39,Debit Card,Quarterly
28,64,Female,Hoodie,Clothing,34,Missouri,XL,Blue,Winter,2.5,No,Express,Yes,Yes,35,Bank Transfer,Fortnightly
29,65,Female,Shorts,Clothing,28,Texas,XL,Indigo,Winter,4.0,No,Store Pickup,No,No,43,Debit Card,Quarterly
30,43,Female,Scarf,Accessories,73,Texas,XL,Red,Winter,3.5,Yes,Store Pickup,No,No,28,Venmo,Bi-Weekly
31,59,Male,Leggings,Clothing,47,North Carolina,L,Red,Spring,3.0,No,Express,No,No,49,Credit Card,Fortnightly
32,37,Male,Blouse,Clothing,25,Kansas,XL,Indigo,Spring,3.5,Yes,Express,No,No,45,Debit Card,Monthly
33,43,Male,Sunglasses,Accessories,33,Wyoming,M,Red,Summer,2.5,No,Free Shipping,No,No,30,Bank Transfer,Bi-Weekly
34,53,Male,Poncho,Outerwear,98,Washington,XL,Beige,Summer,4.5,Yes,Next Day Air,No,No,49,Credit Card,Weekly
35,58,Male,Flats,Footwear,100,Kansas,M,Turquoise,Winter,3.0,No,Express,No,No,10,Credit Card,Monthly
36,62,Male,Shorts,Clothing,72,Michigan,L,Beige,Spring,3.0,No,Express,Yes,Yes,2,Venmo,Monthly
37,48,Male,Shirt,Clothing,69,Nebraska,L,Lavender,Fall,3.5,No,Next Day Air,No,No,22,Bank Transfer,Fortnightly
38,69,Male,Skirt,Clothing,36,South Carolina,L,Yellow,Spring,2.5,No,Next Day Air,No,No,17,Debit Card,Quarterly
39,31,Male,Vest,Clothing,68,Louisiana,S,Beige,Winter,4.5,No,2-Day Shipping,No,No,23,Credit Card,Fortnightly
40,22,Female,Bracelet,Accessories,23,Kansas,M,Gray,Fall,3.0,No,Free Shipping,No,No,14,Debit Card,Fortnightly
41,34,Female,Cardigan,Clothing,34,Wyoming,S,Orange,Spring,4.0,Yes,Express,Yes,Yes,25,Debit Card,Fortnightly
42,30,Male,Socks,Accessories,51,Connecticut,L,Orange,Spring,4.5,No,Free Shipping,No,No,28,Bank Transfer,Quarterly
43,22,Male,Pants,Clothing,73,New York,M,Brown,Summer,4.5,No,2-Day Shipping,No,No,42,Cash,Bi-Weekly
44,69,Female,Flats,Footwear,75,Washington,L,Pink,Fall,4.5,No,Next Day Air,No,No,30,Venmo,Bi-Weekly
45,60,Male,Pants,Clothing,61,Idaho,L,Brown,Winter,3.5,Yes,2-Day Shipping,Yes,Yes,36,PayPal,Bi-Weekly
46,30,Male,Watch,Accessories,91,Wisconsin,M,Navy,Summer,3.5,No,Store Pickup,No,No,45,Credit Card,Quarterly
47,60,Male,Jewelry,Accessories,64,Nevada,XL,Lavender,Winter,3.5,No,Store Pickup,No,No,8,Bank Transfer,Annually
48,38,Male,Bracelet,Accessories,43,Illinois,M,Navy,Winter,4.5,Yes,Express,Yes,Yes,7,Credit Card,Quarterly
49,32,Male,Coat,Clothing,88,Florida,M,Maroon,Winter,4.0,No,Next Day Air,No,No,1,Venmo,Quarterly
50,48,Male,Blouse,Clothing,52,New Mexico,M,Turquoise,Summer,3.5,No,2-Day Shipping,No,No,10,Venmo,Quarterly
51,23,Female,Shirt,Clothing,73,Rhode Island,L,Indigo,Fall,4.5,No,Next Day Air,No,No,38,Debit Card,Quarterly
52,54,Male,Tie,Accessories,32,Wisconsin,M,Blue,Winter,4.0,No,Standard,No,No,11,PayPal,Monthly
53,46,Female,Sunglasses,Accessories,49,Maine,L,Teal,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,13,Debit Card,Every 3 Months
54,52,Male,Dress,Clothing,38,California,M,Orange,Winter,3.5,No,Store Pickup,Yes,Yes,18,Venmo,Bi-Weekly
55,49,Male,Earrings,Accessories,75,West Virginia,M,Purple,Spring,2.5,Yes,Express,Yes,Yes,2,Bank Transfer,Weekly
56,35,Male,Hat,Accessories,80,North Dakota,L,Purple,Fall,5.0,No,Next Day Air,Yes,Yes,31,Cash,Monthly
57,39,Male,Jeans,Clothing,62,Nebraska,L,Orange,Summer,4.5,No,Next Day Air,No,No,17,Cash,Every 3 Months
58,67,Male,Sunglasses,Accessories,89,New Jersey,M,Blue,Winter,4.0,No,Next Day Air,Yes,Yes,14,Cash,Bi-Weekly
59,26,Female,Coat,Clothing,82,Delaware,M,Indigo,Fall,4.5,No,Free Shipping,No,No,6,Credit Card,Weekly
60,25,Male,Pants,Clothing,39,New York,XL,Orange,Winter,3.5,No,Next Day Air,No,No,36,Credit Card,Monthly
61,30,Female,Earrings,Accessories,37,California,M,Beige,Winter,5.0,No,Free Shipping,No,No,20,Venmo,Bi-Weekly
62,60,Male,Hoodie,Clothing,81,Minnesota,M,Lavender,Summer,3.5,No,Standard,Yes,Yes,16,Venmo,Monthly
63,32,Female,Jacket,Clothing,80,Virginia,XL,Yellow,Summer,5.0,Yes,2-Day Shipping,Yes,Yes,32,PayPal,Annually
64,50,Female,Sweater,Clothing,76,Connecticut,L,Teal,Spring,4.5,No,2-Day Shipping,Yes,Yes,5,Debit Card,Weekly
65,34,Male,Socks,Accessories,30,Michigan,S,Lavender,Summer,5.0,No,Next Day Air,Yes,Yes,3,Venmo,Every 3 Months
66,33,Male,Windbreaker,Outerwear,31,Nevada,XL,White,Summer,3.0,No,Free Shipping,No,No,4,Cash,Quarterly
67,41,Male,Shorts,Clothing,92,Utah,S,Red,Fall,2.5,Yes,Express,Yes,Yes,32,Venmo,Annually
68,32,Male,Dress,Clothing,21,New Jersey,XL,Lavender,Fall,2.5,Yes,Express,No,No,28,Bank Transfer,Quarterly
69,47,Female,Shorts,Clothing,81,Connecticut,M,Coral,Winter,4.0,Yes,Store Pickup,No,No,43,Debit Card,Quarterly
70,18,Male,Tie,Accessories,26,Rhode Island,S,Orange,Fall,4.0,No,2-Day Shipping,No,No,17,Bank Transfer,Weekly
71,64,Female,Hat,Accessories,100,Connecticut,XL,Maroon,Winter,4.5,No,Store Pickup,Yes,Yes,6,Cash,Quarterly
72,65,Male,Shirt,Clothing,89,Mississippi,L,Purple,Fall,3.0,Yes,Next Day Air,Yes,Yes,19,Bank Transfer,Weekly
73,39,Female,Belt,Accessories,38,Wisconsin,XL,Yellow,Winter,2.5,No,Store Pickup,No,No,30,Cash,Fortnightly
74,65,Male,Necklace,Accessories,67,Connecticut,L,Navy,Spring,4.0,Yes,Store Pickup,Yes,Yes,15,Bank Transfer,Every 3 Months
75,58,Female,Loafers,Footwear,72,Delaware,M,Maroon,Winter,5.0,No,Standard,Yes,Yes,9,Debit Card,Monthly
76,41,Male,Jewelry,Accessories,73,Pennsylvania,S,Black,Summer,4.0,Yes,Express,No,No,18,PayPal,Fortnightly
77,41,Male,T-shirt,Clothing,66,Connecticut,XL,Brown,Winter,2.5,No,Free Shipping,Yes,Yes,30,PayPal,Fortnightly
78,31,Male,Sunglasses,Accessories,26,Michigan,M,Black,Fall,2.5,Yes,Standard,Yes,Yes,15,Cash,Weekly
79,27,Female,Gloves,Accessories,38,Florida,L,Red,Spring,4.0,No,Free Shipping,No,No,16,Venmo,Quarterly
80,19,Male,Coat,Clothing,73,North Dakota,M,Turquoise,Summer,3.5,No,Express,No,No,33,Credit Card,Bi-Weekly
81,20,Female,Moccasins,Footwear,58,New Jersey,L,Gray,Spring,5.0,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Monthly
82,22,Female,Jeans,Clothing,28,Florida,M,Coral,Winter,3.5,No,Store Pickup,No,No,39,Debit Card,Every 3 Months
83,68,Female,Moccasins,Footwear,47,Nevada,L,Green,Summer,3.5,No,Next Day Air,Yes,Yes,21,Debit Card,Quarterly
84,60,Male,Poncho,Outerwear,28,Colorado,S,Turquoise,Summer,2.5,Yes,Standard,No,No,38,Venmo,Bi-Weekly
85,39,Male,Pants,Clothing,74,Washington,M,Orange,Winter,3.5,No,Standard,No,No,31,Credit Card,Weekly
86,24,Male,Belt,Accessories,55,Oregon,M,Beige,Spring,4.0,No,2-Day Shipping,No,No,12,Cash,Fortnightly
87,66,Male,Blouse,Clothing,43,Georgia,L,Yellow,Spring,3.0,No,Free Shipping,No,No,34,Credit Card,Monthly
88,44,Male,Dress,Clothing,61,Wyoming,XL,Indigo,Spring,4.5,No,Express,No,No,6,Cash,Monthly
89,60,Male,Handbag,Accessories,54,Indiana,S,White,Winter,3.5,No,2-Day Shipping,Yes,Yes,34,Bank Transfer,Quarterly
90,20,Male,Raincoat,Outerwear,20,Indiana,M,Blue,Fall,4.5,No,Free Shipping,No,No,48,Debit Card,Annually
91,26,Male,Jewelry,Accessories,91,Texas,S,Turquoise,Summer,4.5,No,Free Shipping,No,No,5,Cash,Bi-Weekly
92,45,Male,Handbag,Accessories,57,Delaware,M,Pink,Fall,4.5,No,2-Day Shipping,Yes,Yes,6,Debit Card,Weekly
93,24,Male,Jewelry,Accessories,30,Montana,S,Pink,Fall,3.5,No,Express,Yes,Yes,34,Venmo,Annually
94,67,Male,Necklace,Accessories,38,Kansas,M,Purple,Fall,3.0,No,2-Day Shipping,No,No,50,Bank Transfer,Monthly
95,47,Female,Watch,Accessories,92,Tennessee,L,Indigo,Winter,4.5,No,Standard,No,No,31,Debit Card,Fortnightly
96,37,Female,Wallet,Accessories,84,California,M,Teal,Spring,2.5,Yes,Free Shipping,Yes,Yes,6,Venmo,Bi-Weekly
97,50,Male,Bracelet,Accessories,25,New Hampshire,XL,Coral,Fall,3.5,No,Standard,Yes,Yes,29,PayPal,Weekly
98,39,Female,Leggings,Clothing,42,Arizona,M,Teal,Summer,4.0,No,Store Pickup,No,No,19,Debit Card,Monthly
99,67,Male,Bracelet,Accessories,100,Tennessee,M,Pink,Spring,4.0,No,Store Pickup,Yes,Yes,43,Venmo,Weekly
100,27,Male,Hat,Accessories,64,Maryland,XL,Yellow,Fall,4.0,Yes,Store Pickup,No,No,42,Cash,Weekly
101,26,Male,Moccasins,Footwear,31,Tennessee,L,Olive,Winter,2.5,No,Standard,No,No,50,Debit Card,Annually
102,32,Female,Dress,Clothing,32,North Carolina,S,Olive,Spring,4.0,Yes,Express,No,No,25,Credit Card,Annually
103,29,Female,Sneakers,Footwear,76,Arizona,M,Green,Summer,4.0,Yes,Next Day Air,No,No,16,Cash,Weekly
104,68,Male,Slippers,Footwear,93,New Hampshire,L,Orange,Summer,4.0,No,Standard,Yes,Yes,39,Credit Card,Weekly
105,34,Male,Wallet,Accessories,90,Connecticut,L,Olive,Spring,3.0,Yes,Store Pickup,No,No,33,Credit Card,Weekly
106,45,Male,Flats,Footwear,64,Alaska,M,Yellow,Winter,3.0,Yes,Store Pickup,No,No,21,PayPal,Weekly
107,63,Male,Sneakers,Footwear,24,Maine,XL,Navy,Fall,4.5,No,Express,No,No,6,PayPal,Quarterly
108,31,Female,Tie,Accessories,97,North Dakota,M,Orange,Fall,3.5,No,Next Day Air,Yes,Yes,40,Debit Card,Every 3 Months
109,25,Female,Jewelry,Accessories,22,South Dakota,L,Green,Fall,3.0,No,Store Pickup,No,No,27,Credit Card,Fortnightly
110,60,Male,Parka,Outerwear,87,Ohio,L,Olive,Spring,3.5,No,2-Day Shipping,No,No,24,Cash,Fortnightly
111,19,Male,T-shirt,Clothing,100,Connecticut,S,Pink,Fall,2.5,No,2-Day Shipping,No,No,50,Bank Transfer,Monthly
112,62,Male,Jeans,Clothing,28,Virginia,S,Teal,Spring,3.0,No,Standard,Yes,Yes,21,Cash,Bi-Weekly
113,43,Female,Gloves,Accessories,24,Wisconsin,L,Orange,Winter,4.5,No,2-Day Shipping,No,No,8,Cash,Monthly
114,43,Female,Oxfords,Footwear,63,Idaho,L,Navy,Winter,5.0,No,Free Shipping,Yes,Yes,6,Debit Card,Bi-Weekly
115,70,Male,Sweater,Clothing,30,Massachusetts,L,Orange,Summer,4.0,No,2-Day Shipping,No,No,29,PayPal,Fortnightly
116,40,Male,Leggings,Clothing,27,California,L,Yellow,Winter,4.0,Yes,Standard,Yes,Yes,10,Venmo,Fortnightly
117,68,Male,T-shirt,Clothing,66,Mississippi,M,Coral,Spring,4.0,No,Store Pickup,No,No,49,PayPal,Bi-Weekly
118,26,Male,Leggings,Clothing,55,Kansas,XL,Gray,Fall,3.5,No,Express,No,No,50,Cash,Fortnightly
119,46,Male,Tie,Accessories,82,Illinois,M,Turquoise,Summer,3.0,No,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly
120,63,Male,Earrings,Accessories,58,Hawaii,L,Red,Winter,4.0,No,Standard,Yes,Yes,16,Debit Card,Every 3 Months
121,41,Male,Shirt,Clothing,90,Florida,L,Turquoise,Spring,3.5,Yes,2-Day Shipping,No,No,27,Debit Card,Weekly
122,54,Male,Parka,Outerwear,77,New Jersey,L,Brown,Fall,4.5,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Monthly
123,50,Female,Sweater,Clothing,86,Georgia,M,Red,Winter,5.0,No,Express,Yes,Yes,6,Cash,Annually
124,58,Female,Leggings,Clothing,58,South Carolina,L,Olive,Fall,4.0,No,Standard,Yes,Yes,47,Venmo,Quarterly
125,54,Male,Boots,Footwear,25,Tennessee,S,Purple,Fall,4.5,No,2-Day Shipping,No,No,41,Venmo,Quarterly
126,59,Female,Bracelet,Accessories,71,Maryland,L,Maroon,Fall,3.5,No,Standard,No,No,10,Cash,Weekly
127,63,Male,Puffer Jacket,Outerwear,71,Florida,S,Olive,Spring,3.5,No,Store Pickup,No,No,10,PayPal,Every 3 Months
128,36,Female,Oxfords,Footwear,51,Hawaii,S,Coral,Winter,3.0,No,Express,No,No,20,Debit Card,Every 3 Months
129,23,Female,Scarf,Accessories,47,Pennsylvania,M,Maroon,Winter,3.5,Yes,2-Day Shipping,Yes,Yes,19,Venmo,Every 3 Months
130,24,Male,Slippers,Footwear,71,Mississippi,M,Maroon,Fall,3.5,No,Next Day Air,No,No,49,Venmo,Quarterly
131,70,Female,Belt,Accessories,36,Connecticut,M,Pink,Winter,4.5,No,Express,No,No,3,PayPal,Every 3 Months
132,26,Female,Moccasins,Footwear,78,Georgia,L,Olive,Fall,3.5,No,Standard,No,No,40,Bank Transfer,Weekly
133,37,Male,Jewelry,Accessories,88,New York,L,Orange,Summer,4.5,No,2-Day Shipping,No,No,27,Venmo,Quarterly
134,68,Female,Sandals,Footwear,96,New Mexico,M,Coral,Fall,4.5,No,Standard,No,No,47,Venmo,Weekly
135,42,Male,Sunglasses,Accessories,93,Vermont,M,Gray,Summer,3.5,No,2-Day Shipping,No,No,33,Venmo,Monthly
136,65,Female,Jewelry,Accessories,46,Oklahoma,M,Navy,Summer,3.5,No,Express,No,No,23,Bank Transfer,Weekly
137,64,Female,Loafers,Footwear,98,New Mexico,M,Green,Winter,4.0,No,Store Pickup,Yes,Yes,46,Credit Card,Fortnightly
138,63,Male,Jewelry,Accessories,55,Maine,M,Lavender,Summer,4.5,No,Store Pickup,Yes,Yes,10,Cash,Every 3 Months
139,36,Female,Vest,Clothing,76,Tennessee,M,Navy,Fall,3.0,No,Express,Yes,Yes,9,PayPal,Bi-Weekly
140,65,Male,Leggings,Clothing,87,Iowa,L,Maroon,Spring,3.5,No,Free Shipping,Yes,Yes,9,PayPal,Bi-Weekly
141,28,Male,Poncho,Outerwear,81,Tennessee,M,Orange,Winter,3.0,No,Free Shipping,Yes,Yes,15,Venmo,Fortnightly
142,64,Female,Vest,Clothing,42,Nebraska,S,Red,Spring,5.0,No,Next Day Air,No,No,48,Cash,Every 3 Months
143,18,Male,Earrings,Accessories,62,Maine,L,Lavender,Summer,4.5,No,Express,No,No,13,PayPal,Quarterly
144,28,Female,Tie,Accessories,43,Alabama,S,Orange,Fall,3.0,Yes,Next Day Air,Yes,Yes,33,Cash,Every 3 Months
145,43,Male,Jeans,Clothing,81,Massachusetts,XL,Gray,Winter,3.5,No,Store Pickup,Yes,Yes,20,Venmo,Fortnightly
146,54,Male,Tie,Accessories,50,Arkansas,L,Teal,Winter,3.0,No,2-Day Shipping,Yes,Yes,45,PayPal,Fortnightly
147,36,Male,Jeans,Clothing,81,Georgia,L,Indigo,Winter,3.5,No,Next Day Air,Yes,Yes,43,Credit Card,Weekly
148,33,Female,Bracelet,Accessories,30,North Dakota,M,Brown,Spring,5.0,No,Express,Yes,Yes,13,Venmo,Bi-Weekly
149,27,Male,Flats,Footwear,34,Utah,M,Coral,Summer,2.5,No,Free Shipping,No,No,33,Debit Card,Monthly
150,54,Male,Bracelet,Accessories,59,Washington,M,Purple,Spring,4.5,No,Free Shipping,No,No,45,PayPal,Bi-Weekly
151,21,Female,Vest,Clothing,80,Arizona,M,Red,Fall,4.5,Yes,2-Day Shipping,Yes,Yes,24,Debit Card,Monthly
152,42,Male,Socks,Accessories,89,Florida,L,Brown,Spring,3.0,No,Express,No,No,15,PayPal,Weekly
153,19,Female,Tie,Accessories,89,Nevada,L,Green,Fall,3.5,No,Standard,Yes,Yes,47,PayPal,Every 3 Months
154,69,Male,Earrings,Accessories,22,Kansas,M,White,Spring,3.5,No,Free Shipping,No,No,3,Debit Card,Monthly
155,32,Male,Bracelet,Accessories,27,Florida,L,Orange,Fall,4.5,Yes,Store Pickup,Yes,Yes,50,Bank Transfer,Weekly
156,38,Male,Moccasins,Footwear,48,Nebraska,M,Maroon,Fall,4.0,No,Next Day Air,No,No,23,Bank Transfer,Fortnightly
157,42,Female,Shorts,Clothing,72,Georgia,M,Red,Summer,3.0,No,2-Day Shipping,No,No,30,PayPal,Bi-Weekly
158,44,Female,Hat,Accessories,69,Kansas,M,Pink,Spring,5.0,Yes,Free Shipping,No,No,13,PayPal,Quarterly
159,42,Male,Necklace,Accessories,29,Illinois,S,Coral,Fall,3.5,Yes,Store Pickup,No,No,1,Credit Card,Annually
160,65,Male,Poncho,Outerwear,51,Vermont,L,Blue,Summer,5.0,No,Store Pickup,No,No,35,Bank Transfer,Quarterly
161,37,Male,Watch,Accessories,79,Connecticut,S,Navy,Winter,5.0,No,Next Day Air,No,No,15,Bank Transfer,Annually
162,19,Male,Peacoat,Outerwear,57,Georgia,M,Green,Summer,4.0,No,Express,Yes,Yes,44,Cash,Quarterly
163,66,Female,Poncho,Outerwear,78,Hawaii,S,Brown,Fall,3.0,No,Standard,Yes,Yes,35,Bank Transfer,Every 3 Months
164,51,Male,Sandals,Footwear,20,Nebraska,M,Green,Spring,4.5,No,Express,No,No,4,Venmo,Fortnightly
165,60,Female,Flats,Footwear,22,Alabama,L,Beige,Spring,2.5,No,Express,Yes,Yes,2,Venmo,Weekly
166,62,Male,Sneakers,Footwear,33,Connecticut,L,Green,Fall,4.0,No,Store Pickup,No,No,26,PayPal,Quarterly
167,43,Male,Coat,Clothing,48,Maryland,L,Turquoise,Spring,2.5,No,Express,No,No,41,PayPal,Fortnightly
168,28,Male,Slippers,Footwear,92,Connecticut,XL,Maroon,Fall,3.0,Yes,Express,No,No,3,PayPal,Fortnightly
169,35,Female,Sunglasses,Accessories,42,Massachusetts,M,Blue,Fall,4.5,No,Next Day Air,Yes,Yes,20,Credit Card,Bi-Weekly
170,33,Male,Moccasins,Footwear,62,Missouri,S,Black,Spring,4.0,Yes,Free Shipping,No,No,15,PayPal,Quarterly
171,56,Female,Peacoat,Outerwear,61,Alaska,L,Teal,Summer,3.0,No,Next Day Air,No,No,44,Venmo,Fortnightly
172,42,Male,Bracelet,Accessories,51,Virginia,M,Purple,Fall,3.5,Yes,Standard,Yes,Yes,21,Cash,Every 3 Months
173,23,Male,Jacket,Clothing,54,Connecticut,M,Red,Summer,3.5,No,Next Day Air,No,No,6,Cash,Bi-Weekly
174,23,Male,Oxfords,Footwear,21,Maine,M,Turquoise,Fall,4.0,No,Next Day Air,No,No,18,Cash,Quarterly
175,49,Male,Dress,Clothing,73,Maryland,L,Turquoise,Winter,3.0,No,2-Day Shipping,No,No,40,Credit Card,Monthly
176,24,Male,Shorts,Clothing,62,South Carolina,M,Pink,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,9,Cash,Quarterly
177,56,Female,Jacket,Clothing,42,Montana,XL,Orange,Summer,5.0,Yes,Store Pickup,No,No,26,Cash,Every 3 Months
178,54,Male,Trench Coat,Outerwear,90,Alaska,XL,Teal,Fall,3.5,No,2-Day Shipping,No,No,27,Bank Transfer,Monthly
179,26,Male,Leggings,Clothing,39,Virginia,M,Yellow,Spring,3.5,No,Express,No,No,33,Bank Transfer,Monthly
180,52,Male,Parka,Outerwear,33,Wyoming,M,Brown,Fall,4.0,No,2-Day Shipping,Yes,Yes,26,Cash,Weekly
181,45,Male,T-shirt,Clothing,85,West Virginia,L,Coral,Fall,3.5,No,2-Day Shipping,Yes,Yes,33,Credit Card,Quarterly
182,19,Male,Vest,Clothing,30,Delaware,S,Black,Winter,3.5,No,Standard,No,No,23,Debit Card,Every 3 Months
183,46,Female,Belt,Accessories,58,Arizona,S,White,Spring,4.5,No,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
184,29,Male,Shorts,Clothing,79,Iowa,S,Red,Fall,4.0,No,Free Shipping,Yes,Yes,13,Debit Card,Bi-Weekly
185,45,Male,Scarf,Accessories,55,Wisconsin,L,Turquoise,Spring,4.5,No,Store Pickup,No,No,30,PayPal,Quarterly
186,60,Female,Socks,Accessories,60,Rhode Island,M,Yellow,Spring,3.5,Yes,Express,No,No,44,Bank Transfer,Weekly
187,37,Female,Socks,Accessories,37,Massachusetts,M,Orange,Spring,3.0,No,Express,No,No,39,Credit Card,Bi-Weekly
188,42,Male,Jewelry,Accessories,42,Oklahoma,M,Orange,Fall,3.0,Yes,Express,No,No,23,PayPal,Monthly
189,26,Male,Hoodie,Clothing,84,Tennessee,L,Navy,Summer,4.5,No,Standard,No,No,2,Credit Card,Quarterly
190,20,Male,Hat,Accessories,78,Oregon,S,Navy,Spring,4.0,No,Express,Yes,Yes,24,Venmo,Weekly
191,66,Male,Jewelry,Accessories,47,Nevada,M,Green,Winter,4.5,No,Store Pickup,No,No,6,Debit Card,Weekly
192,25,Female,Shirt,Clothing,95,Vermont,M,Indigo,Summer,3.0,No,Standard,Yes,Yes,4,Venmo,Quarterly
193,52,Male,Wallet,Accessories,57,Maine,L,Olive,Spring,3.0,Yes,Next Day Air,Yes,Yes,18,Bank Transfer,Annually
194,62,Female,Coat,Clothing,61,Kansas,S,Yellow,Summer,3.0,No,2-Day Shipping,No,No,29,PayPal,Fortnightly
195,68,Female,Hoodie,Clothing,55,Vermont,XL,Brown,Summer,5.0,No,Free Shipping,Yes,Yes,47,PayPal,Fortnightly
196,47,Male,Necklace,Accessories,28,Ohio,M,Beige,Fall,3.5,No,Store Pickup,No,No,37,Credit Card,Bi-Weekly
197,49,Female,Sandals,Footwear,25,Connecticut,L,Teal,Spring,3.0,Yes,Next Day Air,No,No,28,Credit Card,Fortnightly
198,26,Female,Pants,Clothing,55,Colorado,L,Purple,Spring,3.5,Yes,Standard,No,No,41,Cash,Fortnightly
199,62,Female,Sweater,Clothing,32,Alabama,M,Turquoise,Fall,4.0,No,Next Day Air,No,No,45,Cash,Weekly
200,25,Female,Jeans,Clothing,81,California,M,Turquoise,Spring,3.0,No,Store Pickup,No,No,50,Credit Card,Fortnightly
201,61,Male,Sunglasses,Accessories,98,Tennessee,M,Brown,Fall,4.0,No,Next Day Air,Yes,Yes,29,Credit Card,Every 3 Months
202,24,Male,Coat,Clothing,69,Minnesota,XL,Pink,Fall,3.0,No,Standard,No,No,39,Bank Transfer,Bi-Weekly
203,36,Female,Necklace,Accessories,58,Indiana,L,Olive,Fall,4.5,No,Free Shipping,Yes,Yes,16,Debit Card,Monthly
204,25,Male,Belt,Accessories,87,Alabama,XL,Pink,Fall,3.5,Yes,Next Day Air,No,No,44,Credit Card,Weekly
205,48,Female,Sandals,Footwear,95,California,M,Blue,Spring,5.0,Yes,Next Day Air,No,No,41,Bank Transfer,Bi-Weekly
